U,L
"This is my community,",give.statement
"and to see this building come back to life,",give.opinion
it meant a lot to me.,give.opinion
"Fuyao is the leader, Fuyao is changing the industry,",give.opinion
and I see us becoming number one in the world next year,give.opinion
and number one in the world every year.,give.opinion
"Yes, sir. How are you doing?",use.social.convention
I have a really good idea for you.,give.opinion
Why don't you film,give.opinion
those three microwave ovens that have been out for two weeks,give.opinion
- that haven't been replaced? - Okay.,give.opinion
- Why don't you film that? - We will.,give.opinion
And tell me why this area is now gonna be used for production,closed.question
and no longer a lunchroom.,closed.question
There's signs all over that say that.,give.statement
Where's the lunchroom gonna be?,closed.question
I have no clue. You're telling me...,respond.deny
That's typical.,give.statement
You're telling me... telling me something new.,give.statement
I just got back from vacation.,give.statement
They're gonna take all the tables and all the chairs out,give.statement
and make this a production space. Like everywhere else.,give.statement
I hope they make your office a production space.,give.statement
They manage to have these things on all the time. This is America.,give.statement
We don't need Chinese children singing and praying.,give.opinion
"Coming back from the China trip,",give.statement
some of the things I started implementing...,give.statement
"Well, the first thing I implemented was...",give.statement
"At our pre-shift meeting,",give.statement
we used to just kind of sit at the tables and talk and...,give.statement
"watching the Chinese shift meeting,",give.statement
where he had them all lined up...,give.statement
I've found that that's worked out really well for me back here.,give.statement
"Good morning, everybody.",use.social.convention
"Greg, I need you to stand on two, starting off.",give.statement
"Chuck, I need you standing on three.",give.statement
I think that's everybody.,give.statement
It's an experiment.,give.statement
"So, the lines are running okay today?",closed.question
Everybody got your glasses and boots?,closed.question
We're good?,closed.question
Any questions?,closed.question
"Okay, let's have a good day.",use.social.convention
They're gonna do surgery for your hand?,closed.question
They're gonna tell me tomorrow.,deflection
They'll tell you tomorrow what your recovery's gonna be.,give.statement
"Yeah, they'll probably start at four weeks,",give.statement
"determine what... you know, how it's gonna be,",give.statement
"and then, from there, go to the eight weeks.",give.statement
I'm worried about my points.,give.statement
#NAME?,x
Don't worry about any of that.,give.statement
Don't have to worry about your points for missing time.,give.statement
I don't wanna lose my job.,give.statement
"No, you're not gonna lose your job.",respond.deny
- What's that? - My pay?,closed.question
- Yes. - It's covered?,respond.agree
"Yes. I don't know how all of that works,",give.statement
but it is.,give.statement
Yeah.,give.statement
Everybody at every level will say we,give.statement
"really, really, really want to be safe.",give.statement
But safe doesn't pay the bills.,give.statement
"The room that we work in, there's only one way in,",give.statement
no doors on the opposite side.,give.statement
"If a fire breaks out,",give.statement
that's like being trapped.,give.statement
They're wanting us to pull one of,give.statement
those big sheets off and inspect it.,give.statement
Some of this float glass is so big,give.statement
"that I'm gonna have people exposing their face,",give.statement
and I don't... I don't need to do that.,give.opinion
"A couple days ago, I had to tell the Chinese fellow",give.statement
that I absolutely refuse to pick up,give.statement
two loads with a stand-up forklift.,give.statement
It's not strong enough.,give.statement
"I said, ""If you want to do it, that's",recall
"fine, you do it. I'm not doing it.",recall
"I'm not... I'm not risking somebody's life.""",recall
"Out of all my working life,",give.statement
"I have never ever had a workplace injury, ever.",give.statement
"I mean, 15 years at General Motors,",give.statement
"you know, never a workplace injury.",give.statement
And then my new job at Fuyao...,give.statement
what happens?,closed.question
I get a workplace injury.,give.statement
"Right now, I'm outside the Moraine plant here,",give.statement
off Kettering Boulevard.,give.statement
There have been 11 safety complaints filed against Fuyao.,give.statement
Some workers claim unsafe working conditions,give.statement
and unfair treatment.,give.statement
"I say ""people,"" you say ""power.""",relax.atmosphere
#NAME?,x
#NAME?,x
"I say ""people,"" you say ""union.""",relax.atmosphere
#NAME?,x
#NAME?,x
All right. Whoo.,relax.atmosphere
"Meeting after work, don't forget, next week.",give.statement
We'll see you there. Bring your co-workers.,give.statement
There's a lot of information that you're seeing on TV about Fuyao.,give.statement
"""Safety concerns,""",recall
"other things that are... are being reported,",give.statement
much of which we do not believe are true.,give.opinion
Because if you bring in a union...,give.statement
this becomes illegal.,give.statement
You cannot do it any more.,give.statement
"Instead, if I'm an employee,",give.statement
I have to take my concerns to the union rep.,give.statement
"When we had this training in private,",give.statement
I was horrified by this picture.,give.opinion
"If this becomes a reality,",give.opinion
we wouldn't be able to communicate directly,give.opinion
with our American co-workers.,give.opinion
Isn't that terrible?,closed.question
"If we are able to improve our management capabilities,",give.opinion
it will help quell the union rebellion.,give.opinion
"""And if we are able to improve our management capabilities,",recall
"it will help with our campaign against union organisations...""",recall
We hired Americans to work as our managers and supervisors.,give.statement
"Our expectation was that we could trust them,",give.opinion
"pay them a high salary, and they would serve the company.",give.opinion
Why didn't they?,closed.question
I think they are hostile to Chinese.,give.opinion
The loss from January to October,give.statement
is about 40 million US dollars.,give.statement
We have to reverse the tide as soon as possible.,give.opinion
"With the new restructuring,",give.statement
I believe we will see this plant in profit very soon.,give.opinion
We've invited Jeff Liu to be our new president.,give.statement
"Good morning, everyone.",use.social.convention
"I was born in 1963, in the Year of the Rabbit.",give.statement
I've spent 27 years in the US and 26 years in China.,give.statement
"People always guess I am in my 40s, but I'm actually 53.",give.statement
Why is that? Because I have passion.,give.opinion
I have determination to do things well.,give.opinion
"""A major shake-up of the company's senior management team,",recall
with company President John Gauthier,recall
"and Vice President Dave Burrows leaving.""",recall
Actually...,give.statement
terminated.,give.statement
♪ We wish you a Merry Christmas ♪,misc
♪ We wish you a Merry Christmas ♪,misc
♪ And a Happy New Year ♪,misc
♪ We wish you a Merry Christmas ♪,misc
#NAME?,x
"Need a hat, Jim?",closed.question
- Right here. I'll take it. - All right.,respond.agree
"- That's good, brother. - Merry Christmas to you.",use.social.convention
Merry Christmas to you. Thanks for your work.,use.social.convention
"Hello, everybody.",use.social.convention
I would like to use this opportunity,give.statement
to thank each of you for the hard work.,give.statement
"And also, we need to work as a team",give.statement
"under one roof, one culture,",give.statement
and make a great year for 2017.,give.statement
We can turn the company around.,give.statement
"We make more money, and everybody gonna share the piece of pie.",give.statement
How's that?,closed.question
Not bad.,respond.agree
"You want a hat, Chairman?",closed.question
He asked if you want a hat.,recall
Of course.,respond.agree
"Here you go, boss.",give.statement
Let me wear a hat.,give.statement
Hi.,use.social.convention
#NAME?,x
#NAME?,x
Ni hao.,use.social.convention
Someone from work was kind enough to tell me,give.statement
that there were these apartments.,give.statement
Four hundred and eighty dollars a month.,give.statement
I fell in love with it.,give.opinion
I can afford to live here,give.statement
and have my own place and feel independent again.,give.statement
Smells good.,give.opinion
This is the most enjoyable moment in a day.,give.opinion
"After I finish the cigarette, my mind just calms down.",give.statement
We workers lay down tracks,give.opinion
so the train can run smoothly.,give.opinion
The only thing we have in mind is to do our best.,give.opinion
That's true for everyone here.,give.opinion
My wife.,give.statement
My toothache has gone.,give.statement
I've fully recovered.,give.statement
"The last time I cried, I was a teenager.",recall
But I cried once after coming here.,recall
I don't dare mention that to other people.,give.statement
"But when all is quiet in the dead of night,",give.statement
I miss my family.,give.statement
I've learnt most of what I learnt from Leon and Wong.,give.opinion
None of us knew glass when we came there.,give.statement
"When you get to be my age, not too many people wanna hire you.",give.opinion
They don't wanna take a chance.,give.statement
"My brother, he's my Chinese brother.",give.statement
"I would have his back, just like I'd have one of my own brothers'.",give.opinion
I just... I think the world of him.,give.opinion
Are you okay?,closed.question
My supervisor started yelling at me.,give.statement
When... You work at the table right there.,give.statement
I was working right here just fine.,give.statement
Now he wanna change it right over here.,give.statement
"We know, the table over there.",give.statement
"Now, instead of here, they want you to do it here? Okay.",give.statement
He said he expects us to do eight boxes at a time.,give.statement
I just want to make sure you're not gonna get hurt.,give.statement
He said he want us to push them in here.,give.statement
"Well, now, you... It's probably too heavy for you to push it.",give.statement
So you need to let him know that.,give.statement
I don't understand.,give.statement
"Sometimes, why she don't know to tell that?",closed.question
Make sure you're communicating to them that you need help.,give.statement
I have.,give.statement
He knows.,give.statement
"Rather than trying to find resolution,",give.opinion
they try to find out who's wrong.,give.opinion
"And, in this case, they're both wrong.",give.opinion
You need some skills to handle Americans.,give.opinion
How can we take advantage of American characteristics,closed.question
to make them work for Fuyao?,closed.question
There's a culture in the US,give.opinion
where children are showered with encouragement.,give.opinion
So everyone who grows up in the US is overconfident.,give.opinion
They are super confident.,give.opinion
Americans love being flattered to death.,give.opinion
You will get into trouble if you fight with them.,give.opinion
"""Donkeys like being touched in the direction their hair grows.""",recall
Right?,closed.question
You should touch donkeys in the direction their hair grows.,give.opinion
"Otherwise, they'll kick you.",give.statement
Do you understand what I'm saying? You do? Okay.,closed.question
We need to use our wisdom to guide them and help them.,give.opinion
Because we are better than them.,give.opinion
"They refer to us as ""the foreigners.""",recall
People just want... They wanna feel,give.statement
"like they're in America working,",give.statement
"not like, when they walk in the door,",give.statement
that they've left America and they're now in China.,give.statement
They work non-stop. They're in there all the time.,give.statement
"Around the clock, 24 hours a day. They're in there on Sundays.",give.statement
"There's been some days, they don't want us to take a break for lunch,",give.statement
because they need X amount of glass out.,give.statement
The Chinese really don't help us out at all.,give.opinion
They just walk around and tell the Americans what to do.,give.opinion
"""Just do this."" And you're like, ""Why?""",recall
"They don't tell you why at all, and they walk away.",give.statement
"I know it's a growing company, I know it's new.",give.statement
"But with the workload that comes with it,",give.statement
"you know, you wanna keep your employees around,",give.statement
especially your good workers.,give.statement
"A simple pay raise, even if it's just a dollar.",give.opinion
Just show your appreciation for them and their hard work.,give.opinion
"Optimism, hope. That was what we were all going in with.",give.opinion
The future looked bright.,give.opinion
"Now, it's just... It's a 180.",give.opinion
"To me, it's like they don't respect you.",give.opinion
"At least 3,000 people have come and gone, either fired or quit.",give.statement
"Whenever you have a frustrating day, you can go outside and...",give.statement
throw your bin over.,give.statement
Every one of our bosses were demoted.,give.statement
#NAME?,x
Have the Chinese changed their mind?,closed.question
Are they not gonna turn this over to us?,closed.question
Because that was one of the...,give.statement
definitely that was one of the things,give.statement
that intrigued me about coming here.,give.statement
I love the fact that they came in here. I love this business.,give.opinion
I worked at Appleton for over 20 years,give.statement
and I was one of the guys that got laid off in 2012.,give.statement
I've been looking for something for four years.,give.statement
I like working with the people on the floor.,give.opinion
They are working their tails off.,give.statement
"And they're not getting anything for it,",give.opinion
and I'm not talking about compensation.,give.statement
They're not getting patted on the back.,give.opinion
I've seen the Chinese pouring chemicals down the drain,give.statement
out the back of our dock.,give.statement
Chemicals.,give.statement
There was a trail of yellow paint going right to the sewer.,give.statement
- Right out our back door. - You couldn't miss it.,give.statement
It's like they don't even know what the rules are.,give.statement
It's...,give.statement
"And I'm thinking, ""This is all going into the sewer",recall
"and going into drinking water somewhere.""",recall
I don't wanna waste your time and I don't wanna to waste my time.,give.statement
"With what we say at this table,",give.statement
will it make a difference?,closed.question
I've asked security to come escort,give.statement
you out if you're going to do that.,give.statement
Okay.,give.statement
"Man, they treat these people like shit in there.",give.opinion
"Sometimes, you got to be Sally Field.",give.statement
If there are things your boss can't,give.statement
"fix for you, come talk to me.",give.statement
Especially how to manage American workers.,give.statement
Can we force them to work overtime?,closed.question
#NAME?,x
"From HR's perspective,",give.statement
we can't force them to work overtime.,respond.deny
We can't say anything like that.,give.statement
"But in China, it's mandatory.",give.statement
The Americans... I don't give a shit what they think.,give.opinion
"Go ahead and sue me,",give.statement
but they should come the hell in on Saturdays.,give.opinion
That's how I would do it.,give.opinion
I think the most important thing is mutual understanding.,give.opinion
We're under enormous pressure here.,give.opinion
A lot more pressure than in China.,give.opinion
There was a guy who couldn't fall asleep for a couple of days.,give.statement
I really admire Americans.,give.opinion
They can work two jobs.,give.statement
They can have another job besides working here.,give.statement
I always thought Americans lived a comfortable and superior life.,give.opinion
I thought they didn't have to make any sacrifices.,give.opinion
"Good afternoon, everyone.",use.social.convention
Good afternoon.,use.social.convention
All the stories that you've heard about Fuyao is true.,give.statement
"Just to give you an idea how things are,",give.statement
my daughter does nails for a living.,give.statement
"Last year, she made $13,000 more than I did.",give.statement
"Now, think about that.",give.statement
"She cleared $40,000. I made 27.",give.statement
Something's wrong with that.,give.opinion
A co-worker of mine was fired,give.statement
for being hospitalised for a week and not calling off.,give.statement
That could've been me. What if I got sick?,give.statement
Would they fire me?,closed.question
"The man I was working with,",give.statement
the cardboard he was sitting on caught on fire.,give.statement
And they just kept right on working.,give.statement
Dayton taxpayers and the state of Ohio have committed,give.statement
"tens of millions of dollars to Fuyao,",give.statement
and yet Fuyao management has failed,give.opinion
to provide the good and the safe jobs,give.opinion
that this community deserves.,give.opinion
Labour.,give.statement
Working people and the labour movement built America.,give.statement
It is what made America great the first time.,give.statement
The working people at Fuyao right now who don't have a...,give.statement
You have a birthright that's paid for,give.opinion
by the sweat and blood of people in this room,give.opinion
"and people who have gone before people in this room,",give.opinion
"so that you had a right to fair life,",give.statement
to a workplace that was safe.,give.statement
We fought these battles 70 years ago.,give.statement
We rejected 70 years ago,give.statement
that management and companies and rich people,give.statement
get to pick and choose,give.statement
what happens to you or what you get or what you don't get.,give.statement
Nothing in America has changed,give.opinion
in terms of working people working hard.,give.opinion
That's not what changed in America.,give.opinion
What changed in America was people at the top,give.opinion
deciding they wanted to rewrite the rules,give.opinion
to take advantage of people.,give.opinion
To make it in their favour at your expense.,give.opinion
"And you have a right and an obligation to say no to that,",give.statement
and that's what unionising at Fuyao is all about.,give.statement
"And over the course of fighting for this all these years,",give.statement
we found a way for companies to make,give.opinion
"money and still be fair to employees,",give.opinion
"and still pay employees a decent wage,",give.opinion
and still make sure that they were safe.,give.opinion
These two things can exist together.,give.opinion
"As you fight this fight at Fuyao,",give.statement
"as UAW stands by you and fights that fight with you,",give.statement
as we show Fuyao that we do things a,give.statement
"little bit different in Dayton, Ohio,",give.statement
"I will be there every step of the way fighting with you,",give.statement
"on the side of UAW, on the side of workers,",give.statement
and we will win this fight. Thank you.,use.social.convention
#NAME?,x
Next Monday...,give.statement
"everybody already employed in this room,",give.statement
"whatever you're paid today, two dollars more.",give.statement
Thank you.,use.social.convention
"Everybody, whatever you make today,",give.statement
two dollars more next Monday.,give.statement
Yeah.,give.statement
Great?,closed.question
"And the people say, ""Why are you doing that? We're losing money.""",recall
The good efficiency generate from the good employee.,give.opinion
How do we keep a good employee? Better pay.,give.opinion
We want to be the best employer in this town. But in return...,give.statement
"work hard, work longer.",give.statement
"Our team here, we can do the same job as China.",give.opinion
"Raise the bar, and I believe the future will belong to everybody.",give.opinion
Thanks again.,use.social.convention
Victory. Whoo.,relax.atmosphere
#NAME?,x
#NAME?,x
They don't want to have to abide by the rules and regulations,give.opinion
of the United States.,give.opinion
"They're in America, and we want to make sure",give.statement
that they abide by the laws in America.,give.statement
♪ We can bring to birth a new world from the ashes of the old ♪,misc
♪ For the union makes us strong ♪,misc
♪ Solidarity forever ♪,misc
♪ Solidarity forever ♪,misc
♪ Solidarity forever ♪,misc
♪ Because the union makes us strong ♪,misc
♪ Solidarity forever ♪,misc
We have a better chance of having things done fair,give.opinion
if we have it written out in a contract.,give.opinion
That's why we need a union.,give.opinion
Management would listen to us because they had to.,give.opinion
"Every job I've ever worked on, being a black woman,",give.statement
that's the only way that we have a chance.,give.opinion
"I understand that, at times, there's",give.statement
"gonna be a need for a union,",give.statement
"but right now, I got a man that's given me a good job,",give.opinion
"given me a good wage, and allowed me to come to work every day.",give.opinion
I don't have any need for somebody else,give.statement
to come in and get in the middle of this.,give.statement
The only thing the union's gonna do is keep the bad workers.,give.opinion
"And the good workers, it's just gonna go along like it is for us.",give.opinion
How's that work for me?,closed.question
I know there are some union activists here.,give.statement
I know because I have people,give.statement
who spy for me.,give.statement
I have many different ways to deal with them.,give.statement
Here is one. He is pro-union.,give.statement
This is him. This person here.,give.statement
"Look, we get along pretty well.",give.opinion
You won't see him here in two weeks' time.,give.statement
Good afternoon.,use.social.convention
I want to thank you so much for coming.,use.social.convention
I know you didn't have a choice.,give.statement
The union will go out of their way,give.statement
to try to convince you that it's a good thing for you,give.statement
and that it is in your best interest.,give.statement
"The contract that you get,",give.statement
"if you get one,",give.statement
might include better wages and benefits.,give.statement
That contract might include the same,give.statement
wages and benefits you have today.,give.statement
And that contract finally might,give.statement
include less wages and less benefits.,give.statement
"And the threat of a strike is no longer scary to employers,",give.statement
"because today if you go on strike, while you can't get fired,",give.statement
the employer has the right to permanently replace you.,give.statement
I'll let that sink in.,relax.atmosphere
"You can't get fired for going on strike,",give.statement
but you can get permanently replaced.,give.statement
So are you telling us not to vote for the union?,closed.question
I'm here to tell you to do what you want.,deflection
I got a question. Who do you work for?,closed.question
I work for a company called Labour Relations Institute.,respond.agree
We're a labour consulting firm.,give.statement
#NAME?,xx
Didn't I say that? I usually say that in every meeting.,give.statement
"- No. - No, you didn't say that yet.",respond.deny
"Well, the reality is, they pay me to consult with you here...",give.statement
They pay you to talk to us?,closed.question
They pay me. They don't pay me enough,give.statement
to stand up here and lie to you.,give.statement
Okay?,closed.question
"He says that he was being impartial, but he wasn't.",give.opinion
The UAW is free to use everywhere else in the world.,give.statement
If they want to pay our... pay our workforce,give.statement
"to sit through a presentation, to listen to the pitch,",give.statement
that's their right.,give.statement
"But while they're on our clock, it's our message.",give.statement
They spent a lot of money to bring these people in here,give.statement
to make sure that every employee,give.statement
"goes through this session,",give.statement
"not once, but twice, maybe three times.",give.statement
They have people walking around there with patches and stickers on,give.statement
"that's saying: ""Vote no.",recall
"You still have a voice.""",recall
"Now, my question to them people are:",give.statement
What voice do you have?,closed.question
When have you ever had a voice?,closed.question
"Ever since they started this job, it's been a two-man job.",give.opinion
"When they put me out here on it,",give.statement
they decided they wanted it to be a one-person job.,give.statement
"When I went to talk to HR, I told them they were targeting me.",recall
Put me on a job to set me up to write me up for performance issues,recall
and fire me.,recall
I got the phone call from Fuyao,recall
that they had fired me.,recall
I really truly feel like... that they targeted me.,give.opinion
"I was on the news, I was at the city council meetings.",give.statement
It's been a pretty sad...,give.opinion
few days.,give.opinion
This sinking feeling of...,give.statement
"""I don't have a job.""",recall
"I mean, I'm a good worker.",give.opinion
Workers union.,give.statement
Should I have gotten so involved?,closed.question
Put my whole life into it?,closed.question
Here's old Fuyao.,give.statement
Can't spell Fuyao without F-U.,relax.atmosphere
"When I was at Fuyao, I didn't think we needed a union.",recall
"Move forward to today, you have no voice, you have...",give.opinion
"Truly, you...",give.opinion
"From what I'm told, there really isn't an American with authority",give.opinion
that they can talk to.,give.opinion
"You know, I...",give.opinion
I think these employees need something.,give.opinion
"I think I need to make only two more trips this year,",give.opinion
if you achieve what you planned.,give.statement
Why do I need to come here? It's not convenient for me. Right?,closed.question
You think I like to come to America every month?,closed.question
It's tiring.,give.opinion
Is the union making any noise?,closed.question
"No, not too much.",respond.deny
Better than it was before.,give.opinion
"Recently, we fired a lot of union supporters.",give.statement
We have tried different ways. It's worked out.,give.opinion
A lot of active ones left...,give.statement
Then you guys should hire more excellent people.,give.opinion
Young people.,give.statement
This is the culture I want for our company.,give.statement
Then we will have a good atmosphere here.,give.opinion
A lot of things here in the US are different from China.,give.opinion
"Well, we've invested here already. It's just not working that well.",give.opinion
Ah?,relax.atmosphere
"Morning, you all.",use.social.convention
#NAME?,x
#NAME?,x
#NAME?,x
#NAME?,x
"Fired up, ready to win.",relax.atmosphere
"These are actually people from the United Auto Workers Union,",give.statement
"and they're out here demonstrating,",give.statement
trying to encourage Fuyao employees,give.statement
"to vote ""yes.""",give.statement
Fuyao released a statement earlier,give.statement
saying that they believe the United Workers Union is corrupted,give.statement
"and they hope that the workers vote ""no.""",give.statement
"More than 1,500 workers are expected...",give.statement
We all have a psychological shadow.,give.opinion
Fuyao doesn't want to be controlled by the union.,give.opinion
"As the Chinese saying goes,",give.statement
"""One mountain cannot hold two tigers.""",recall
Voting just ended an hour ago.,give.statement
Now the National Labour Relations Board,give.statement
is counting those votes inside the plant,give.statement
with both Fuyao and UAW watching...,give.statement
Yes.,give.statement
We won by a landslide.,give.statement
We won 60%?,closed.question
Right.,respond.agree
We're awesome.,give.opinion
"868 noes, 444 yes.",give.statement
Yeah.,relax.atmosphere
Yeah.,relax.atmosphere
I wasn't shocked...,give.statement
because I know the... the young people got scared.,give.opinion
"Them LRI people scared the shit out of them, that's all.",give.opinion
"Before we started having those trainings,",give.statement
"I felt like there was a big ""yes"" vote.",give.opinion
"They spoke a lot about a strike,",give.statement
"and like, not being able to be paid, unless we... You know.",give.statement
"So, I feel like people, you know, are worried about their income.",give.opinion
"Because I definitely was, you know? So...",give.opinion
There you have it. Overwhelming no.,give.statement
"Good morning, everyone.",use.social.convention
Morning.,use.social.convention
Last night I couldn't sleep,give.statement
because I feel...,give.statement
even more heavier burden on my shoulder.,give.statement
You guys gave me a chance,give.statement
to make FGA better.,give.statement
My goal is gonna work with the team to make sure,give.statement
"every single issue I cannot resolve overnight,",give.statement
but give me some time.,give.statement
Can we do this?,closed.question
Yeah?,closed.question
"All right, one more thing: life is short.",give.statement
We're gonna select the best ten employees go to China.,give.statement
There's some pictures.,give.statement
This is Shanghai.,give.statement
Shanghai is the most modern city in China.,give.statement
"Look like Manhattan, right?",closed.question
It's like a Manhattan too.,give.opinion
"Yeah, this is a Hyatt Hotel. Hyatt Hotel.",give.statement
"They have a sky pool, 55 floor.",give.statement
You swim in the sky.,give.statement
And I'm gonna share the good news for you.,give.statement
"One of you lucky guys,",give.statement
you're gonna see that city.,give.statement
"We're one Fuyao, one family.",give.statement
We create the miracle.,give.opinion
We need to create success forever.,give.opinion
Let's make American great again.,relax.atmosphere
The smooth operation of our US project,give.statement
has laid a solid foundation for our global strategy.,give.statement
We've achieved double-digit growth in operation management.,give.statement
Both our earnings and profits have reached new digits.,give.statement
The China of my youth was poor,give.statement
and undeveloped.,give.statement
I feel I was happier then.,give.statement
Now I live in a new era,give.statement
"of prosperity and modernity,",give.statement
but I have a sense of loss.,give.statement
I miss the croaking frogs and chirping bugs of my childhood.,give.statement
The wild flowers blooming in the field.,give.statement
"In the past few decades, I have built so many factories.",give.statement
Have I taken the peace away and destroyed the environment?,closed.question
I don't know if I am a contributor or a sinner.,give.statement
But...,give.statement
I only think that way when I'm unhappy.,give.statement
The point of living is to work.,give.statement
Don't you think so?,closed.question
"Last Friday, I was terminated from Fuyao",give.statement
after two and a half years.,give.statement
The excuse given was I was too slow,give.statement
pulling up something on the computer.,give.statement
Took me about two or three minutes.,give.statement
It wasn't quick enough.,give.statement
I wouldn't take away the last two and a half years.,give.statement
I met a lot of good friends,give.opinion
and I learnt a lot from the Chinese.,give.statement
I don't have any food for you.,give.statement
I have some watermelon in my apartment.,give.statement
I don't think he can eat fruit.,relax.atmosphere
He can eat grass.,relax.atmosphere
#NAME?,x
#NAME?,x
"In the old days, all Chinese people wanted in life",give.statement
was to have enough food and to raise their kids.,give.statement
That's all they wanted.,give.statement
"When it comes to my generation, we want it all.",give.opinion
We travel wherever we want and buy whatever we like.,give.opinion
GM afforded me a great life...,give.statement
that was cut off,give.statement
when they closed the doors.,give.statement
We will never ever make that type of money again.,give.opinion
Those days are over.,give.opinion
There you go.,relax.atmosphere
All right.,relax.atmosphere
#NAME?,x
"Well, I didn't even know.",give.statement
You never give up on the American dream.,give.statement
"To me, that would be un-American.",give.opinion
I can have that white fence.,give.opinion
I can have that nice home.,give.opinion
Send my children to college if that's what they want to do.,give.opinion
Get treated with common decency.,give.opinion
You have to be able to believe in it.,give.opinion
We used to have one person here.,give.statement
Now we don't have anyone.,give.statement
"Next, I'm going to get rid of four workers here.",give.statement
Two for each line.,give.statement
Automation means standardisation.,give.statement
"After we finish this,",give.statement
we will have two fewer workers,give.statement
uploading on the encapsulation line.,give.statement
The mechanical arms do that instead.,give.statement
You have already finished that?,closed.question
Yes. These are all automatic.,respond.agree
And you're replacing the rest with mechanical arms too?,closed.question
Yes. I will replace the ones on side-window tempering.,respond.agree
This one is being tested now.,give.statement
We're hoping to cancel four workers in July or August.,give.statement
I'll change that into machine work.,give.statement
We can't get the work done now. They are too slow.,give.opinion
