U,L
"As soon as I saw that photo, how it turned out, I was like,",recall
"""Oh, this is gonna be fun.""",recall
YG Entertainment is expected,use.social.convention
to showcase its first new girl group in seven years since 2NE1 debuted.,use.social.convention
"Under the direction of producer Teddy,",use.social.convention
this new group is being prepared.,use.social.convention
Its members and debut songs have been shrouded in secrecy.,use.social.convention
I'm shaking!,exclamation
So shaky!,exclamation
"""Various… diverse colors…""",relax.atmosphere
How does it go?,open.question
All I wanted was people to see the potential in us.,give.opinion
"It didn't necessarily have to be, ""Wow! This group came out,",recall
"and they're so perfect in every single way.""",recall
"Like, I wanted people to be curious about us.",recall
Hello everyone.,use.social.convention
I'm BLACKPINK's Rosé.,use.social.convention
Hello everyone. I'm BLACKPINK's Jennie.,use.social.convention
Hello everyone.,use.social.convention
I'm BLACKPINK's Jisoo.,use.social.convention
Hello everyone. I'm BLACKPINK's Lisa.,use.social.convention
Uh… after training with my members all this time,give.opinion
"and finally being able to debut on this stage,",give.opinion
I'm nervous and excited.,give.opinion
"In the future, we will work hard to show everyone",give.opinion
BLACKPINK's unique colors.,give.opinion
Please love us!,use.social.convention
Thank you!,use.social.convention
As soon as we debuted…,give.opinion
…I think it happened just the way I thought it would.,give.opinion
I look intense.,give.opinion
Let's go!,exclamation
Hello.,use.social.convention
I can't wait. Can you tell us who's performing next?,closed.question
Two of their songs debuted exclusively at Inkigayo last week,give.statement
and could be number one!,give.statement
Shall we see the performance,use.social.convention
"of BLACKPINK, the hottest rookies right now?",use.social.convention
- Music… - …start!,misc
"♪ Make 'em whistle like a missile Bomb, bomb ♪",misc
"♪ Every time I show up, blow up, uh… ♪",misc
"YG's new girl group, BLACKPINK,",use.social.convention
"has reached number one only 14 days after their debut,",use.social.convention
which is the shortest time ever by a girl group to reach number one.,use.social.convention
I remember making our debut,recall
and winning awards.,recall
Wow!,exclamation
"And feeling like, ""Wow! We did it.""",recall
"""Whistle"" kept going up and up, and when it hit number one,",recall
we were just so happy and excited.,recall
"Honestly, I think I was most surprised",give.opinion
"when ""Whistle"" reached number one on the music charts.",give.opinion
That was the most exciting.,give.opinion
I remember we were…,recall
…in a practice room when we heard the news,recall
that we were number two.,recall
"I kept on checking and checking, but we had to go to practice.",recall
We'd check every hour.,recall
"And then someone came in and said, ""Oh, my God!""",recall
We jumped up and down.,recall
I remember my friends telling me that they heard it.,recall
"They were like, ""I'm outside, and they're playing your song!""",recall
It felt really weird back then.,give.opinion
"I was like, ""Oh, my God, that's so cool! Shoot a video! Send me the video!""",recall
Lisa! I love you!,use.social.convention
I just really like their style.,give.opinion
Their sound is super different from other K-pop groups.,give.opinion
"It's 'cause they have so many foreign members,",give.opinion
and it really shows how anyone can achieve their dreams.,give.opinion
They own the stage when they're on it.,give.opinion
Their dance is so powerful.,give.opinion
"When their music is played, you just instantly start dancing.",give.opinion
They have the strongest friendship I've seen in a K-pop group.,give.opinion
You can see they love what they are doing and are born to do it.,give.opinion
I felt like this is a girl group,give.opinion
that I can actually vibe with.,give.opinion
"You know, they cool.",give.opinion
They the baddest bitches alive.,give.opinion
"When I was a trainee, nobody knew about me.",recall
"But after I debuted as BLACKPINK,",recall
everyone would follow me no matter where I went.,recall
I didn't know that we would become this famous.,give.opinion
How much did you sleep last night?,open.question
Three hours.,respond.agree
#NAME?,x
#NAME?,x
"During trainee days, I was desperate. I really wanted it.",give.opinion
"But after debut, that's when you start getting a lot of responsibilities.",give.opinion
Everybody look into the camera.,give.statement
Then came the pressure for our next thing.,recall
"""What now? What do we do?""",open.question
"""Let's come up with something fresh."" I felt like we were being chased.",give.opinion
Action!,exclamation
The winner is BLACKPINK!,use.social.convention
Thank you! I love you all!,use.social.convention
It's a big day for BLACKPINK,use.social.convention
"as ""Ddu-Du Ddu-Du"" has become",use.social.convention
the most viewed Korean music video in 24 hours.,use.social.convention
Three music videos with over 400 million views.,use.social.convention
One billion views on YouTube.,use.social.convention
"I think when things get faster,",give.opinion
it also becomes very overwhelming at some points.,give.opinion
Yeah.,respond.agree
I still remember the first time…,recall
I went back to Thailand after my debut.,recall
Because Thai teens see me as a Thai who has made it this far.,give.opinion
"They would say, ""I want to be like Lisa.""",recall
Lisa!,use.social.convention
WELCOME HOME LISA WE MISSED YOU,use.social.convention
"But at that moment,",give.opinion
I wasn't sure if I was really good enough to be their role model.,give.opinion
I'm a singer…,give.opinion
but I didn't know what kind of singer I wanted to be.,give.opinion
I kind of lost the goal. I was trying to find myself.,give.opinion
Could I really become their role model?,open.question
What should I do to not let them down?,open.question
These kinds of thoughts kept running through my mind.,give.opinion
We need sugar.,give.opinion
We need sugar.,give.opinion
#NAME?,x
You like this too. Tanghulu is different.,give.opinion
Tanghulu has the sweetness of the fruits.,give.opinion
The ratio is a little off because we haven't made it in a while.,give.opinion
- There was too much sugar. - It's a bit burnt.,give.opinion
#NAME?,x
"This is actually a Chinese traditional snack,",give.statement
but it's hard to find it here in Korea.,give.opinion
We almost started a fire once.,relax.atmosphere
#NAME?,x
We almost made this dorm disappear.,relax.atmosphere
This is a way of me teaching Jisoo to speak English.,give.opinion
She got better in the last six months.,give.opinion
"She understands everything that I say, so I do talk to her in English sometimes.",give.opinion
#NAME?,x
Is it good? I want a taste.,closed.question
It's warm.,deflection
It's a bit burnt.,give.opinion
Mm!,exclamation
Not bad.,give.opinion
Not bad but not good.,give.opinion
Yeah. Let's be honest. It was a fail.,give.opinion
Yes.,respond.agree
No. We didn't add any water.,respond.deny
"- What are you talking about? - No, you don't add water.",respond.deny
Unnie! You add water.,give.opinion
"You add water? No, you don't add water.",respond.deny
What am I going to do about you? Nothing works without me.,give.opinion
"In Korea, one of the first things you ask,",give.statement
"other than your name, is how old are you?",give.statement
"And as soon as they say they're older, it's like, ""Oh, you're unnie.""",recall
"So, unnie is basically what you call an older sister.",give.statement
It's like...,give.statement
Other places don't have it.,give.opinion
We don't call each other by names.,give.statement
"It's normally unnie if you're older than me,",give.statement
and oppa if you're a guy.,give.statement
"It takes a while to get used to, but once you get a hold of it,",give.opinion
it's better than calling their names.,give.opinion
She's not Jisoo. She's unnie.,give.opinion
"It's like family, in a way.",give.opinion
"When I first came to train as a singer,",recall
I had never tried singing or dancing before.,recall
"I was lost, but you taught me a lot.",give.opinion
"For two of us, it was... The competition was fierce at the time.",give.opinion
There were about 20 to 30 trainees.,recall
"Because we are the older ones of the group,",give.opinion
the others came to us with the issues they were having.,give.opinion
"I knew what their problems were. They'd ask us, ""Unnie, what should we do?""",recall
"And I'd advise them to speak their mind, but they have a hard time doing that,",recall
so I end up taking care of it.,recall
There's no doubt I feel a sense of responsibility.,give.opinion
I try the best I can to take care of the other girls.,give.opinion
"It's okay, actually. I could eat this.",give.opinion
Semi-success.,give.opinion
Okay. It's just Rosé and the beat.,relax.atmosphere
"- Oh, my God! - No words, no melody whatsoever.",exclamation
So here we go.,relax.atmosphere
♪ Can't sleep at night ♪,misc
♪ But would it be all right ♪,misc
"♪ If I stay, if I… ♪",misc
"♪ No, it shouldn't be a problem No, it shouldn't be a problem ♪",misc
You know how when people say they're afraid of heights,open.question
or they're afraid of water?,open.question
I've always been so afraid of getting in the studio or writing something.,give.opinion
I always thought just someday I have to just start it. I have to.,give.opinion
- I'm gonna still keep this one. - Okay.,give.opinion
- Let's try one more time. - Okay.,give.statement
Do I change the rhythm? I keep going for the same thing.,open.question
#NAME?,x
Like slightly. Maybe I'll try singing it one more time.,respond.agree
"I've seen Joe a few times, and his music's like amazing.",give.opinion
"I was just like, to Teddy, ""What do you think if he helps me out?""",recall
So here's what we worked on. This is Rosé's first recorded song.,give.statement
We even saved this whole file in this secret folder,recall
"because I said nobody can listen to it. I was like, ""Hide it from everyone.""",recall
"♪ Wouldn't be a problem No, it shouldn't be a problem ♪",misc
"When it comes to writing songs, Rosé has certain stories in mind.",give.opinion
And she's shy about sharing that story.,give.opinion
It's just super personal to her.,give.opinion
It's like her diary.,give.opinion
"Oh, my gosh!",exclamation
You sounded nervous in that one.,give.opinion
"Yeah. I'm like, ""I don't know what I'm doing.""",recall
I was thinking it'd be fun if I write something like…,give.opinion
"♪ After two, three o’clock… ♪",misc
♪ When I call you ♪,misc
♪ And when you see my call… ♪,misc
Something like that.,give.opinion
- I think it's fine. - I want to hide right now.,give.opinion
- No. - I don't think I can do this.,respond.deny
Teddy told me yesterday too.,recall
"He was like, ""You need to learn how to be more vulnerable in the studio.""",recall
"That's something I can't do too easily,",give.opinion
but I was gonna say...,give.opinion
#NAME?,x
"I really have a lot of respect for music,",give.opinion
so I don't wanna be just like another girl who sings,give.opinion
and just kind of tells everybody that she writes music.,give.opinion
That's the last thing I wanna be.,give.opinion
#NAME?,x
"Oh, my gosh.",relax.atmosphere
I feel more intimidated when I'm by myself.,give.opinion
"When I'm in my room by myself,",give.opinion
"and I go, ""Should I try and write something?""",recall
I think I'm way more intimidated then.,give.opinion
"'Cause it's just me. I don't know if my opinions are right,",give.opinion
and that scares me.,give.opinion
I feel like I scare myself the most.,give.opinion
"Okay, let's record that.",give.statement
What's our tempo?,open.question
I found these chords maybe like a month ago.,give.statement
"I was like... I liked it. I was like, ""This sounds cool.""",recall
"And ever since then, I just play it.",give.statement
"If anything, I was gonna put you in the booth and sing over it.",give.opinion
Okay.,respond.agree
Do you think I could do it? I've never tried this.,closed.question
I think you can do it. Let's just give it a try.,respond.agree
"It's nice to have just the right amount of people in the room,",give.opinion
who are just there to accept whatever is there,give.opinion
and make it into something.,give.opinion
"Joe always says, ""This is the safe ground. Everything's a secret in here.""",recall
"""You can make a fool out of yourself,",recall
"and we won't tell anyone.""",recall
Ah.,relax.atmosphere
It feels just like expressing myself.,give.opinion
Whereas I would always sing songs of other artists.,give.opinion
That's more like borrowing their emotions and making it mine.,give.opinion
Whereas this is totally just speaking from my point of view.,give.opinion
"I'm almost like a baby trying to speak in the music,",give.opinion
trying to sing… for the first time.,give.opinion
#NAME?,x
"Lisa, should I wear this on my way back?",closed.question
Kuma!,relax.atmosphere
BLACKPINK hoodie?,closed.question
#NAME?,x
"Hello. Ah, ow! You just bit me.",use.social.convention
Coco bit me. Ah!,relax.atmosphere
"Coco like, ""I don't care.""",recall
"I have so many clothes, but there's not enough space,",give.opinion
so I keep them on the balcony.,give.statement
Don't we have to pack for the event in Japan?,closed.question
You have to bring something like this. It's cold.,deflection
"- Bring a scarf too. - Oh, I don't have a scarf!",give.statement
#NAME?,x
- Give me one. - I can't.,give.statement
That's not a scarf.,respond.deny
"It is so tiring when we work,",give.opinion
"but when we don't work, I get stressed out about not working.",give.opinion
I think it's that. It's a dilemma.,give.opinion
"When we work, I really want to rest,",give.opinion
"but when we don't work, I end up wondering, ""What am I doing?""",recall
This job has a lot of ups and downs.,give.opinion
There's nothing we can do about it.,give.opinion
"It's very random, and there's no regularity.",give.opinion
"The thing is, you can never tell how long this will last,",give.opinion
so estimating is impossible. That's most challenging.,give.opinion
This year has been on the road.,give.opinion
"This year has been pack and unpack, and unpack and pack and unpack.",give.opinion
That's a song.,give.opinion
"At least right now, we're prepared enough",give.opinion
"to plan the resting part,",give.opinion
"'cause last year, we were just like spending time like…",recall
"And then the tour hit us,",give.opinion
"and we're like, ""Oh, my God.""",recall
Yeah.,respond.agree
I think we were together for three years,give.opinion
before we went on the world tour.,give.opinion
"It was a long tour, about nine months.",give.opinion
"We started the world tour in Asia,",give.opinion
but Coachella marked the start of our tour in North America.,give.opinion
When they said that we're gonna,give.opinion
"start going outside of Asia,",give.opinion
that was like a dream.,give.opinion
"And blow them kisses here and stuff,",give.statement
because you're coming out during the chorus before you kiss.,give.statement
"Oh, the next chorus?",closed.question
You're coming out during the chorus before you kiss.,respond.agree
You want me to come out before that chorus?,closed.question
Come out slowly and play here.,respond.agree
It was getting boring when you stay out there for too long.,give.opinion
A much more diverse group of fans,give.opinion
will be looking forward to seeing us.,give.opinion
We wanted to bring them the best show possible.,give.opinion
"Whether it be ""Playing With Fire"" or ""Boombayah""…",give.opinion
you don't look like you're dancing hard enough.,give.opinion
- We're not dancing hard enough? - Not hard enough.,closed.question
"The audience needs to be mesmerized by your energy, up close.",respond.agree
"I know that you guys know the dance well, but put in a bit more effort.",give.opinion
"Jisoo, you need to get the notes right.",give.statement
"You messed up on the rhythm before, right? Too fast?",closed.question
I practiced with MR for the first time when I got here.,deflection
The notes are a bit unstable when you first go in.,give.opinion
But we shouldn't have said that on camera.,relax.atmosphere
Hey…,relax.atmosphere
They'll never air this.,relax.atmosphere
The media says that K-pop queens have landed.,use.social.convention
"BLACKPINK, welcome to Thailand. Yay!",use.social.convention
"Girl group BLACKPINK heat up their first world tour stop, Thailand.",use.social.convention
It's special to have a concert in Lisa's hometown.,use.social.convention
This is the first concert where BLACKPINK has been able,give.statement
to meet our Thai fans.,give.statement
We will do our very best and will not disappoint the BLINKS.,use.social.convention
BLACKPINK!,use.social.convention
I want to give a performance,give.opinion
that I can look at and be content with.,give.opinion
My focus is leaving the stage having given a performance,give.opinion
I have no regrets about.,give.opinion
"So when I get out there, I'm thinking, ""Don't mess this up.""",recall
"""You've got to nail this.""",recall
"Since it was our very first world tour,",give.opinion
it's amazing to see all these fans,give.opinion
filling up the big arenas that we didn't expect.,give.opinion
Everything was new to me on my first tour.,give.opinion
It was so great to meet so many fans around the world.,give.opinion
"Once it gets going, for, like, the next 30 days,",give.opinion
to try to give them the best stage every day is a lot of pressure.,give.opinion
"After so many plane rides and so many environment changes,",give.opinion
our body just gives up on us.,give.opinion
- It feels like it's sprained. - Is it worse on this side?,closed.question
"When I'm home, I like to workout",give.opinion
and take care of my body,give.opinion
'cause I'm like a grandma. I'm sick everywhere.,give.opinion
"Honestly, I need to take care of myself.",give.opinion
"I lose breath a little easier than other people,",give.opinion
and I can't jump as much as other people.,give.opinion
"I think, at first, I didn't know what I was headed towards.",give.opinion
Okay. Let's go.,relax.atmosphere
I thought it would all be just really exciting and fun.,give.opinion
I’m going to eat it without ketchup.,give.statement
"In the middle of it, I didn't feel like I had a personal life.",give.opinion
It felt like there was this big hole in my life.,give.opinion
What I'm basically living for is tomorrow's show.,give.opinion
"I love being on stage because that's when I feel the most alive,",give.opinion
"yet when we come back to the hotel,",give.opinion
I felt so empty.,give.opinion
"I'm hungry, so I ordered something simple.",recall
Poached eggs. Ta-da!,relax.atmosphere
And that's when I realized I'm homesick.,give.opinion
Delicious.,exclamation
Yeah! Let's go!,exclamation
Lisa is the most constant one.,give.opinion
She brings positive energy into the group.,give.opinion
If someone is fed up one day…,give.opinion
…she makes that person laugh.,give.opinion
She keeps us energized.,give.opinion
Sometimes I feel like…,give.opinion
…I think I overreact a lot.,give.opinion
Or I tend to try to bring too much positivity,give.opinion
when the mood is sour.,give.opinion
#NAME?,x
#NAME?,x
I'll keep doing that.,give.opinion
"- Keep going. - Yeah, keep going, Lisa!",exclamation
How we stay tight as a group,give.opinion
"is we try to take care of ourselves individually,",give.opinion
and then come together healthy and happy so that the whole thing works.,give.opinion
"Sometimes, when I look like I'm really tired and angry,",give.opinion
that is my happy face.,give.opinion
"We're all human, and we're ladies, so we have our moments.",give.opinion
"But when you have the good positive energy going on,",give.opinion
it helps.,give.opinion
"Los Angeles, what's up? We're BLACKPINK on 97.1 AMP radio.",use.social.convention
"You guys, the first female Korean group",give.statement
to perform at Coachella.,give.statement
"- Oh, my gosh! - What?",relax.atmosphere
The K-pop girl band called BLACKPINK,use.social.convention
is in the US this weekend.,use.social.convention
"Because it's such a big festival,",give.opinion
"when I was told that we were going,",give.opinion
I couldn't believe it.,give.opinion
Are we going to Coachella? BLACKPINK? Are you sure?,closed.question
Is this for real?,closed.question
Look over there!,relax.atmosphere
I'm so excited. This is cool!,exclamation
It was really nerve-wracking.,give.opinion
We're a group from South Korea representing our country.,give.opinion
We were just so ready to tell the world,give.opinion
that we've been waiting for this.,give.opinion
Since we don't have much time…,give.opinion
"…we're gonna skip ""Stay,""",give.opinion
"and we're gonna go from ""Whistle"" and ""Kiss and Make Up.""",give.statement
I was so nervous because I didn't know,give.opinion
how our American fans would react.,give.opinion
"Usually, a BLACKPINK tour",give.opinion
"is filled with fans who come to watch us,",give.opinion
but people who come to Coachella are just people who love music in general.,give.opinion
I personally was really worried that not many people,give.opinion
would walk up to our show.,give.opinion
"I didn't even think we would have,",give.opinion
"I don't know, 100 people or 200 people at least.",give.opinion
I was just hoping to have somebody watching us.,give.opinion
I was so sick.,give.opinion
That was the sickest I've ever been.,give.opinion
My back was killing me. It hurt to move.,give.opinion
#NAME?,x
Break a leg.,use.social.convention
We're following Coachella.,give.opinion
Let's go.,relax.atmosphere
"When I got onto that stage,",recall
I actually didn't realize that there were so many people.,recall
Why are there so many people?,open.question
I don't know.,respond.agree
There are so many people.,give.opinion
- We can do it. - We can do it. It's fine.,give.opinion
"One, two, three! Go!",relax.atmosphere
"Jennie and Rosé, that way.",give.statement
"Water, water, water!",exclamation
"Eye drops, somebody!",exclamation
Relax.,relax.atmosphere
We're starting now!,exclamation
I was so nervous. The moment I stepped foot on the stage,give.opinion
and saw all the crowds shouting and cheering…,give.opinion
"…I got the feeling, ""This is it!""",give.opinion
♪ BLACKPINK! ♪,misc
"♪ Oh yeah, oh yeah ♪",misc
I think Coachella was the moment where I felt like,give.opinion
there are people that understand that this isn't just K-pop music.,give.opinion
"They see us as doing something new, and I really like that.",give.opinion
All races and all kinds of people came together there.,give.opinion
So it helped emphasize…,give.opinion
…this represents BLACKPINK.,give.opinion
I'm happy to be in an era,give.opinion
"where people are open to new culture, new music.",give.opinion
"Who would have imagined, at Coachella,",give.opinion
thousands of people singing in Korean…,give.opinion
"""- Playing with fire""? - What?",recall
♪ My love is on fire ♪,misc
"♪ Now burn, baby, burn ♪",misc
It doesn't matter the size of the audience.,give.opinion
It just matters if it's the right atmosphere.,give.opinion
Everybody's on the same vibe.,give.opinion
This was a moment where I felt really satisfied,give.opinion
with our work.,give.opinion
Like all those training years were worth it!,give.opinion
It makes me feel that… I had chosen the right path.,give.opinion
This was what I really wanted to do in my life.,give.opinion
We had so much fun.,give.opinion
I think I'll remember today for the rest of my life.,give.opinion
We love you guys!,use.social.convention
"- Thank you, guys! - Thank you so much.",use.social.convention
Goodnight!,use.social.convention
"There's been lots of news coming from Coachella,",give.opinion
but one group that has everybody talking is BLACKPINK.,give.opinion
"If you didn't know who they were before, you definitely know who they are now.",give.opinion
"After Coachella, I think I figured out",give.opinion
how to have fun on stage.,give.opinion
"Don't concentrate on just yourself,",give.opinion
but feed off this passion raging around you.,give.opinion
Have fun. Have fun with this.,give.opinion
It doesn't matter if we grow old,give.opinion
and get replaced by a new younger generation.,give.opinion
As long as there is still someone talking about us.,give.opinion
Because they will still remember how we shone so bright.,give.opinion
"♪ Uh, I'ma fall in love, baby ♪",misc
♪ You gon' finna catch me ♪,misc
"♪ Uh, give you all of this, baby ♪",misc
♪ Call me pretty and nasty ♪,misc
♪ 'Cause we gonna get it My love you can bet it on ♪,misc
"♪ Black, we gon' double The stack on them, whoa! ♪",misc
♪ I'll be you Bonnie and you be my Clyde ♪,misc
♪ We ride or die Xs and Os ♪,misc
♪ Tonight won't you set me free… ♪,misc
I want everybody to stand up!,relax.atmosphere
"We all have dreams, hunger to make it.",give.opinion
"When you're really invested in what you do,",give.opinion
that's what makes things happen.,give.opinion
"We love you, Bangkok!",use.social.convention
Thank you so much!,use.social.convention
Thank you.,use.social.convention
"Sadly, very, very extremely sadly,",use.social.convention
um…,misc
"Like we said before, this will be our last concert",recall
on this tour.,recall
"And I feel like all four of us,",give.opinion
"we did really well,",give.opinion
and I'm very proud of each and every one of us.,give.opinion
'Cause we went through a lot.,give.opinion
"Like, I know you guys only see the stuff that's on stage,",give.opinion
but I feel like we all go through so much else…,give.opinion
…and I'm very proud.,give.opinion
Aw!,relax.atmosphere
"During the shows, we're always looking out",give.opinion
and talking to the audience.,give.opinion
"Then I was talking, and I kinda looked at my members,",give.opinion
"and I was like, ""Ah!"" Then I started crying.",give.opinion
"Because it felt like the first time talking to, you know, each.",give.opinion
"Like, I feel like it's so hard that everybody stays away from home…",give.opinion
Happy tears.,give.opinion
- Happy tears. - Happy tears. It's okay.,respond.agree
"And every time we're in Thailand, I get really emotional.",give.opinion
I don't know why.,give.opinion
- Now I'm gonna cry. I don't want to cry. - Everybody's gonna cry.,give.opinion
"- Everyone, cry. - Everyone, cry!",give.statement
Aw!,exclamation
"So, it's like a train. It's me and then Jennie unnie.",give.opinion
"And if she cries, then Lisa cries, and then…",give.opinion
I don't cry.,respond.deny
I don't cry. I cry last.,relax.atmosphere
Thank you so much for coming. Bye!,use.social.convention
Bye.,use.social.convention
Watch your step. Be careful.,use.social.convention
Good work!,use.social.convention
Bye!,use.social.convention
A fan?,closed.question
I'm very proud of what we've created as BLACKPINK.,give.opinion
We grew into something that we didn't even know was possible.,give.opinion
"And as much as fans are surprised with the outcome,",give.opinion
we are as well.,give.opinion
"And so, it feels like a journey that they're on with us.",give.opinion
Bye-bye!,use.social.convention
"When somebody asks me, ""Do you have pressure about it?""",quoted.speech
"I'm like, ""No,"" because I feel like we're doing a great job,",quoted.speech
and we have more to show you guys. It's just the beginning.,give.opinion
"Meat, meat!",exclamation
Careful of the hot plate.,give.statement
- That looks amazing! - Can I have a bite?,closed.question
Thank you.,use.social.convention
#NAME?,x
"- Weren't you here before? - Yes, that's right.",closed.question
#NAME?,x
- I remember. - I've been here since the start.,respond.agree
I didn't give you good service.,give.opinion
Really? Is that why you're so nice now?,closed.question
Yes. I hope you enjoy the food.,respond.agree
#NAME?,x
Totally.,relax.atmosphere
Halsey contacted me all of a sudden.,recall
She was at Paris?,closed.question
"She's like, ""You in Paris?"" I'm like, ""Don't tell me you're here.""",recall
It was my first time meeting her. I felt like it was my fifth time.,give.opinion
"And she said the same. Like, ""Was this our first time?""",recall
"I'm like, ""Yeah."" She's just like us. She just talks like us.",recall
"- Is she from America, or… - Yeah, I think she's from LA?",closed.question
"LA! Come on, LA!",respond.agree
#NAME?,x
- We will stay for a year. - You're Parisian already.,relax.atmosphere
"After a year, I'd like to go to the US.",give.opinion
"I want to live in Paris, but I also want to live in the US and England.",give.opinion
Twenty years?,closed.question
I feel like Lisa would be traveling around the world.,give.opinion
Forty three?,closed.question
- I'm gonna be 40? - I'm gonna be 42.,respond.agree
- Gonna be 40. - We're gonna be 42.,respond.agree
I feel we'll all be... Do you think we'll all be married by then?,closed.question
"- I think we might. - Of course! It's 40… Like, come on!",respond.agree
"I don't know about babies, but…",give.opinion
…I think we'd all be married.,give.opinion
"We'd have babies by then. Forty-two, 44…",give.opinion
We'll have children?,closed.question
"If not,",give.opinion
we could also get married later in life.,give.opinion
We'll be freshly married?,closed.question
No newborns!,give.opinion
Aren't we going to make a comeback?,closed.question
At that age?,closed.question
BLACKPINK!,relax.atmosphere
We'll injure our backs!,relax.atmosphere
I don't think we'll be able to dance.,give.opinion
We'll have to stand.,give.opinion
♪ May seem similar but different to the core ♪,misc
♪ May seem shy but kill it when put on the spot ♪,misc
♪ Born skinny bish still skinny after some gain ♪,misc
♪ Slow at calculating but fast and witty ♪,misc
♪ There’s no point to discuss about popularity ♪,misc
♪ F boys not my boys cut them all out ♪,misc
♪ If you get our names wrong get hit like ddu-du ddu-du ♪,misc
♪ Drip drip ice it out bust it down top to the bottom ♪,misc
♪ All up in it make it lit like ♪,misc
♪ Yeah we some bishes you can’t manage ♪,misc
♪ We pulled this off once again ♪,misc
♪ We’re pretty savage. We some pretty savage ♪,misc
