U,L
"That was the last time you ever saw me!""",recall
♪ That was the last time you ever saw me ♪,misc
♪ Drivin' the getaway car ♪,misc
"♪ We were flyin', but we'd never get far ♪",misc
- ♪ Don't pretend ♪ - ♪ Don't pretend it's such a mystery ♪,misc
♪ Think about the place Where you first met me ♪,misc
♪ We were ridin' in a getaway car ♪,misc
♪ There were sirens In the beat of your heart ♪,misc
♪ Should've known I'd be the first to leave ♪,misc
♪ Think about the place Where you first met me ♪,misc
♪ Drivin' in a getaway car ♪,misc
♪ I was cryin' in a getaway car ♪,misc
♪ I was dyin' in a getaway car ♪,misc
♪ Said goodbye in a getaway car ♪,misc
#NAME?,x
#NAME?,x
- That was so fun! - So much fun. So much fun.,give.opinion
"Oh, my God.",exclamation
Hey.,exclamation
#NAME?,x
"- Hi, guys! - Yeah!",use.social.convention
How's it goin'?,use.social.convention
"- Thank you so much for coming! - Oh, my God!",use.social.convention
Say hi.,use.social.convention
Hi!,use.social.convention
#NAME?,x
- Yes? - Yes!,use.social.convention
"- Aw, so nice to meet you. - I-I can't breathe. Yeah.",use.social.convention
You're the cutest.,use.social.convention
"Guys! Oh, my gosh.",exclamation
How cute!,exclamation
And I love these.,give.opinion
#NAME?,x
"Here we go. One, two, three.",relax.atmosphere
♪ Big reputation ♪,misc
- ♪ Big reputation ♪ - Yes!,misc
"♪ You and me, we got... ♪",misc
#NAME?,x
"Of course. Oh, thanks.",use.social.convention
"I'd just like you to be a witness for something special,",use.social.convention
#NAME?,x
"Uh, I'm gonna ask Miss Maybelle Marciano, uh, to be my wife.",give.statement
And I got this special token of my love and appreciation for you.,give.statement
#NAME?,x
"Wow! Oh, my God.",relax.atmosphere
Did you know that was gonna ha...?,closed.question
No.,respond.deny
I didn't know that was gonna happen at all.,respond.deny
"I was, like... you just, like... High-five.",relax.atmosphere
#NAME?,x
"- This is...? This... - Yes, it's official.",closed.question
"- Oh, my God. That's amazing. - Yes.",respond.agree
Whoa.,relax.atmosphere
"Bye, guys. Congratulations.",relax.atmosphere
- Thank you. - Whoa!,use.social.convention
♪ Never find another ♪,misc
- ♪ 'Nother like me- ee ♪ - Mm!,misc
Yeah. Ooh.,relax.atmosphere
#NAME?,x
#NAME?,x
"Oh, my God.",exclamation
"Like, I just want little kids to be like, ""There's no one like me.""",quoted.speech
- Like... ♪ Whoo-hoo-hoo! ♪ - That's the... exactly.,give.opinion
Do you think that you wanna stay in LA forever?,closed.question
"- I don't know, actually. - Yeah.",respond.agree
My wife is from Detroit.,give.statement
"So, we talked about getting a place to test it out.",recall
"And then fans found out, and I had to leave.",recall
"Oh, would they... would they just wait outside?",closed.question
"They would jump the gate and, like, try to open our front door.",respond.agree
"- And I was like, ""This is not okay."" - Yeah, let's not do that. Yeah.",quoted.speech
"There's a difference between ""I connect with your lyrics""",quoted.speech
"- and ""I'm going to break in."" - And ""I want your blood.""",quoted.speech
Yeah. Yeah.,respond.agree
I had a crazy dude break into my apartment and sleep in my bed a couple months ago.,recall
"- Oh, what? - Didn't like it.",relax.atmosphere
"Well, you can have that apartment.",relax.atmosphere
"Oh, there it is. There's that middle.",relax.atmosphere
I cannot believe you're even sick.,give.opinion
That's amazing.,give.opinion
The-There are stars next to your... your lines.,give.statement
"Okay, cool.",respond.agree
"♪ Strike the band up, a-one, two, three ♪",misc
"Oh, you sound fuckin' great, man.",give.opinion
- You sound amazing! - Oof.,give.opinion
♪ I know I tend to make it about me ♪,misc
♪ I know you never get just what you see ♪,misc
"♪ But I will never bore you, baby ♪",misc
"Maybe your intr... your first line should be, like...",give.opinion
♪ I know I tend to make it about me ♪,misc
#NAME?,x
♪ About me ♪,misc
#NAME?,x
"- Brendon, you're blowin' it! - You sound amazing.",relax.atmosphere
"Like, you're making it come alive.",give.opinion
#NAME?,x
#NAME?,x
"♪ But I will never bore you, baby ♪",misc
♪ And there's a lot of lame guys Out there ♪,misc
#NAME?,x
#NAME?,x
#NAME?,x
"- It sounds so fun. Like, it's so fun. - And you're the pro-est pro of all time",give.opinion
for doing this.,give.opinion
"No way. Thank you, guys. This is so cool.",use.social.convention
"- This is, like... I mean, I'm... - Really good track.",give.statement
"...and I'm also really so excited you're down to do, like, a massive video.",give.statement
"- Oh, yeah. That's gonna be a biggie. - 'Cause it's not gonna be a small one.",give.statement
"- Well, it's gonna be so fun. - Um...",give.statement
"My idea that I had in the beginning is, like, it starts in an apartment.",give.statement
"Like, you and me get in a big fight.",give.statement
"I storm out, and I'm, like...",give.statement
"And then all of a sudden, like, I have, like, a parade happening below.",give.statement
"Amazing, amazing.",relax.atmosphere
#NAME?,x
"...you know, it's just, like, emo kids,",give.statement
"theater,",give.statement
"dance sequences,",give.statement
"- La La Land, everything. - Nailed it!",relax.atmosphere
"And, like, when it's like, ""me-ee-ee,""",give.statement
"it's like, dancers, cats,",give.statement
"gay pride, people in country western boots.",give.statement
"I start riding a unicorn, like, just...",give.statement
- everything that makes me me. - Yes!,give.statement
"Five, six, seven, eight.",misc
"If you were to split open my imagination,",open.question
what would come out of it?,open.question
"- Oh, it's so fun. - I'm sweating now.",relax.atmosphere
#NAME?,x
#NAME?,x
Too excited about everything. I feel like I'm just...,give.statement
This is so cool.,give.opinion
#NAME?,x
Just a curious cat in a... in a big world.,relax.atmosphere
"I really, really care about my home state,",give.statement
and I know that in this...,give.statement
"at this point in time, like,",give.statement
"my home state is a huge,",give.opinion
hugely important part of this midterm election.,give.opinion
Tennessee's US senate race figures to be crucial,give.opinion
in both parties' efforts to try to control the US Senate after this year.,give.opinion
"Marsha Blackburn, a self-described hard-core conservative,",give.statement
proclaims her support for President Trump often.,give.statement
"I know the left calls me ""a wingnut"" or ""a knuckle-dragging conservative.""",quoted.speech
"And you know what? I say, ""That's all right. Bring it on.""",quoted.speech
"One of the things that, like, outraged me so much",recall
is that she voted against the reauthorization,recall
"of the Violence Against Women Act,",recall
"which tries to protect women from stalking,",give.statement
"from date rape, from domestic violence.",give.statement
"And then, obviously, it's a no for gay marriage,",recall
it's a no for them to have any rights whatsoever.,give.statement
I think I'll be really upset...,give.statement
if people think that Tennessee...,give.statement
stands for those things.,give.statement
"You've been very secretive about how you vote,",give.statement
what you're voting for.,give.statement
"Well, I mean, I just figure, I'm a 22-year-old singer,",respond.agree
"and, you know, I don't know",give.statement
if people really want to hear my political views.,give.statement
I think they kind of just want to hear me sing songs,relax.atmosphere
about breakups and feelings.,relax.atmosphere
Part of the fabric of being a country artist,give.opinion
"is, ""Don't force your politics on people.",give.opinion
"Let people live their lives.""",recall
That is grilled into us.,give.statement
These three women have been the reigning queens,give.statement
of pop and country music.,give.statement
"They're the biggest-selling female artists of all time,",give.statement
nearly 30 million records sold and even more fans,give.statement
"who always used to love their high-spirited style,",give.statement
"their music, and their moxie.",give.statement
"Well, that racy magazine cover on the stands today",give.statement
pretty much sums up some of the names,give.statement
the Dixie Chicks are being called in America these days:,give.statement
"""traitors, the Dixie Sluts, anti-American,""",quoted.speech
all because of one split-second comment,give.statement
aimed at President Bush right before the war with Iraq.,give.statement
Their opinion is so ignorant.,give.opinion
They don't know what they're talking about.,give.opinion
I think they are the Ditzy Twits.,give.opinion
"These are the dumbest, dumbest bimbos, with due respect, I have seen.",give.opinion
"These are callow, foolish women who deserve to be slapped around.",give.opinion
Absolutely.,respond.agree
"Throughout my whole career,",recall
"label executives and publishers would just say,",recall
"""Don't be like the Dixie Chicks.""",quoted.speech
And... I loved the Dixie Chicks.,give.opinion
But a nice girl doesn't force their opinions on people.,give.opinion
A nice girl smiles and waves,give.opinion
and says thank you.,give.opinion
A nice girl doesn't make people feel uncomfortable with her views.,give.opinion
"It's my right to vote,",give.statement
but it's not my right to tell other people what to do.,give.opinion
#NAME?,x
- Come on. Come on. Come on! - All right.,relax.atmosphere
"I was so obsessed with not getting in trouble,",recall
"that I was like,",recall
"""I'm just not gonna do anything that anyone could say anything about.""",quoted.speech
I'm just getting... I'm just...,give.statement
I'm getting to the point where I can't...,give.statement
"listen to people telling me, ""No, stay out of it.",quoted.speech
"Stay out of it.""",quoted.speech
- Yeah. Is that right? C to the A minor? - Yeah.,closed.question
Let me... just... Can you not play for one second?,closed.question
"'Cause I'm trying to figure out this... I like what I was doing,",recall
but I can't figure out what key it was in.,recall
"It's like 4:00 a.m., in the middle of the night.",recall
♪ I would be complex ♪,misc
♪ I would be cool ♪,misc
♪ I would... ♪,misc
♪ The field To know I found someone to commit to ♪,misc
#NAME?,x
♪ They put a knife in me Behind my back ♪,misc
♪ And... then they do ♪,misc
Mm-hmm.,relax.atmosphere
♪ All right again ♪,misc
♪ I'm so ♪,misc
♪ I'm so sick of runnin' ♪,misc
#NAME?,x
"Maybe it's like, ""I'm so sick of running as fast as I can,",quoted.speech
"wondering if I'd get much further if I were a man.""",quoted.speech
"Is it, ""If I was a man""? ""If I was a man.""",quoted.speech
"- Fine. ""If I was."" - ""If I was a man."" ""If I was a man.""",respond.agree
"""If I was a man.""",quoted.speech
♪ If I was a man ♪,misc
"♪ Hey, then, I'd be the man ♪",misc
♪ I'd be the man ♪,misc
#NAME?,x
I really like that a lot.,give.opinion
Do you wanna start... Maybe if you start a vibe...,closed.question
- Yeah. - ...then this'll just write itself.,respond.agree
It must be so exhausting.,give.opinion
You must have to be thinking about this shit all the fucking time.,give.opinion
You are kind of doing a constant strategy in your head,respond.agree
as to how not to be shamed for something...,respond.agree
- Yeah. - ...on any given day.,give.statement
But then you get accused of being calculated,give.statement
#NAME?,x
"- So, it's like... - It's just a lose-lose situation.",give.statement
"Yeah, it's...",respond.agree
"I mean, I'm good, but it's been, uh...",give.statement
You sort of do have to twist yourself into a pretzel,give.opinion
#NAME?,x
Do you like this for a second verse?,closed.question
"Lyric: ""They'd say I hustled, put in the work,",misc
instead of shake their heads and question how much of this I deserve.,misc
"And what was I wearing, or if I was rude.",misc
Could all be separated from...,misc
"applauding business I could do...""",misc
"""Applauding...",misc
"when I'd make a move...""",misc
- That sounds... - Let's sing a bit.,relax.atmosphere
♪ Could all be separated From my good ideas and power moves ♪,misc
"Yeah, I like ""good ideas.""",respond.agree
That's it.,respond.agree
Just more movement.,give.opinion
That's really cool.,give.opinion
#NAME?,x
♪ We'd drink to the pen and the bottles To the bitches and models ♪,misc
♪ To the... ♪,misc
"Like, do you know what I mean?",closed.question
♪ To the bitches and models To the... ♪,misc
D-Do you know how they're like...,closed.question
"""D... We drink and we be poppin' bottles to the...",misc
"We'd be poppin' bottles to the bitches and models,",misc
"to the hoes and the...""",misc
Do you know? 'Cause they get to call us that.,closed.question
- They get to fuckin' call us that. Like... - Yeah.,give.statement
"Taylor Swift the singer, she goes to court today",give.statement
against a former radio DJ she says once groped her.,give.statement
Swift says this picture shows the moment,give.statement
"Mueller inappropriately grabbed her, putting his hand up her skirt.",give.statement
This had happened to me. We told his boss.,recall
"They did an investigation. He got fired,",recall
"then he sued me for millions of dollars,",recall
so I countersued for one dollar.,recall
"You walk into a courtroom,",recall
"and then there's this person sitting in a swivel chair,",recall
staring at you like you did something to him.,recall
The first thing they say to you in court,recall
"is, ""Why didn't you scream?",recall
Why didn't you react quicker?,recall
"Why didn't you stand further away from him?""",recall
Then he has a lawyer get up and just lie.,recall
"There were seven people who saw him do this,",recall
and we had a photo of it happening.,recall
And I was so angry.,recall
I was angry that I had to be there.,recall
I was angry that this happens to women.,recall
I was angry that people are paid to antagonize victims.,recall
I was angry that all the details had been twisted.,recall
You don't feel a sense of any victory when you win...,give.opinion
because the process is so dehumanizing.,give.opinion
This is with seven witnesses and a photo.,recall
"What happens when you get raped, and it's your word against his?",open.question
"So, um, I just wanted to...",recall
"Just kind of looking back, um...",recall
"this exact day a year ago, um...",recall
"...I was, uh...",recall
"I was not playing a sold-out stadium in Tampa,",recall
"I was... I was in a courtroom in Denver, Colorado, um...",recall
"Honestly, I-I was there for a sexual assault case,",recall
and...,recall
"t-this day, a year ago, was the day that, um...",recall
"...uh, the day that the jury decided in my favor",recall
and said that they believed me.,recall
"I guess I just think about all the people that weren't believed,",recall
"people who haven't been believed,",recall
or the people who are afraid to s-speak up because they think they won't be believed.,recall
And...,recall
"And I just... I just wanted to say that, um...",recall
I just wanted to say I'm sorry to anyone who ever wasn't believed,recall
because I don't know h... what turn my life would have taken if somebody'd...,recall
if people didn't believe me,recall
when I said that something had happened to me.,recall
So...,recall
♪ The drought was the very worst ♪,misc
"♪ Ah, ah ♪",misc
♪ When the flowers That we'd grown together ♪,misc
♪ Died of thirst ♪,misc
♪ It was months and months Of back-and-forth ♪,misc
"♪ Ah, ah ♪",misc
♪ You're still all over me Like a wine-stained dress ♪,misc
♪ I can't wear anymore ♪,misc
♪ Hung my head as I lost the war ♪,misc
♪ And the sky turned black Like a perfect storm ♪,misc
♪ The rain came pouring down ♪,misc
♪ When I was drownin' That's when I could finally breathe ♪,misc
♪ And by morning ♪,misc
♪ Gone was any trace of you I think I am finally clean ♪,misc
♪ I think I am finally clean ♪,misc
"- I'm so proud of you... - Thanks, Mom.",give.statement
...for taking this shitbag of shit they gave you.,give.statement
#NAME?,x
I'm really proud of you.,give.statement
It's okay now.,relax.atmosphere
I'm good.,relax.atmosphere
I-I just...,give.statement
I couldn't really stop thinking about it.,recall
"And I just thought to myself,",recall
"""Next time there is any opportunity to change anything,",recall
"you had better know what you stand for and what you wanna say.""",recall
"We are less than three weeks out until the midterms,",give.statement
and Tennessee's senate candidate Marsha Blackburn is up in the polls.,give.statement
"Congratulations, I know you've got a little momentum going.",use.social.convention
This is the third poll in a row that has shown you in the lead.,give.statement
My team's really not happy with me right now.,give.statement
All I've talked about for the last couple of months is the election in Tennessee.,give.statement
It's not that I want to step into this.,give.statement
I just... I can't not at this point. Like...,give.statement
"something is different in my life,",give.statement
completely and unchangeably different since the sexual assault trial last year.,give.statement
"Like, and no... no man in my organization or in my family",give.statement
will ever understand what that was like.,give.statement
"For 12 years, we've not got involved",give.statement
with politics or religion.,give.statement
"Yeah, but this is on the home front.",respond.agree
"And also, back in the presidential election,",give.statement
I was in such a horrendous place,give.statement
that I wasn't gonna pop my head out of the sand for anything.,give.statement
Why would you?,closed.question
"I mean, does Bob Hope do it? Did Bing Crosby do it?",closed.question
"- Does... Does Mick Jagger do it? - Honey, what the hell? Come on!",respond.deny
- What I'm saying is... - Bob Hope and Bing Crosby?,closed.question
"First of all, these aren't your dad's celebrities,",give.statement
and these aren't your dad's Republicans.,give.statement
"Imagine if we came to you and said, ""Hey, we've got this idea",quoted.speech
"that we could halve the number of people that come to your next tour.""",quoted.speech
"The other thing, just from a security standpoint,",give.statement
"""Taylor Swift comes out against Trump.""",quoted.speech
I don't care if they write that!,relax.atmosphere
"I'm sad that I didn't two years ago, but I can't change that.",give.statement
I'm saying right now,give.statement
"that this is something that I know is right,",give.statement
"and, you guys, I need to be on the right side of history.",give.statement
And if he doesn't win...,give.statement
"- ...then at least I tried. - Taylor, here's the problem.",give.statement
"I just want to read you what I wrote, and I'm gonna try to start...",give.statement
I just want you to know that this is important to me. This is...,give.statement
"- I totally agree with the issue, - Have...",give.statement
#NAME?,x
"I've read the entire thing,",respond.agree
and the bottom line right now: I'm terrified.,give.statement
I'm the guy that went out and bought armored cars.,give.statement
I worry for her safety as much as anybody does.,give.statement
Maybe more.,give.opinion
It really is a big deal to me.,give.statement
"She votes against... against fair pay for women,",give.statement
she votes against the reauthorization of the...,give.statement
"of the Violence Against Women Act,",give.statement
which is just basically protecting us,give.opinion
from domestic abuse and stalking. Stalking!,give.statement
She votes... She thinks that... that if you're a gay couple,give.statement
"or even if you look like a gay couple,",give.statement
you should be allowed to be kicked out of a restaurant.,give.statement
"It's really basic human rights, and it's right and wrong at this point,",give.opinion
and I can't see another commercial...,give.statement
and see her disguising these policies,give.statement
"behind the words ""Tennessee Christian values.""",give.statement
Those aren't Tennessee Christian values.,give.opinion
I live in Tennessee. I am a Christian.,give.statement
That's not what we stand for.,give.opinion
I need to do this. I need you to just...,give.statement
"Dad, I just need you to forgive me for doing it, 'cause I'm doing it.",give.statement
"- Okay, so... - I'm not gonna lie, I'm a little nervous.",give.statement
#NAME?,x
#NAME?,x
I always have to bring up everything that could go sideways...,give.statement
#NAME?,x
"- One: the president could come after you. - Fuck that, I don't care.",give.statement
"If I get bad press for saying,",give.statement
"""Don't put a homophobic racist in office,"" then I get bad press for that.",quoted.speech
"- I really don't care. - I would stand behind that 1,000 times.",respond.agree
#NAME?,x
I think that it is so frilly and spineless of me,give.opinion
"to stand onstage and go, ""Happy Pride Month, you guys,""",recall
and then not say this...,give.opinion
when someone's literally coming for their neck.,give.statement
Yeah.,respond.agree
#NAME?,x
#NAME?,x
To the resist... Stop it.,relax.atmosphere
It's gonna be okay.,relax.atmosphere
Oh...,relax.atmosphere
"Oh, my God.",relax.atmosphere
"Oh, it's so scary. This is the picture.",relax.atmosphere
"- One... - ...two, three...",relax.atmosphere
...go.,relax.atmosphere
#NAME?,x
"Taylor Swift broke her silence on politics over the weekend,",give.statement
publicly backing two Democrats in Tennessee.,give.statement
"Taylor Swift is taking her first political stand,",give.statement
backing Democrat Phil Bredesen.,give.statement
"The superstar making it clear to her 112 million followers on Instagram,",give.statement
"and the world, where she stands.",give.statement
Taylor Swift's jumping into politics. What do you say?,open.question
"Let's say that I like Taylor's music about 25% less now, okay?",respond.agree
The 28-year-old pop star made her statement on Instagram.,give.statement
She broke her longstanding policy,give.statement
of not talking politics...,give.statement
...using her voice in a new way.,give.statement
"This is so out of the norm for Taylor Swift, who...",give.statement
Republicans for years have thought,give.statement
"that Taylor Swift was a crypto-conservative, and she just...",give.statement
It is a risky move for an entertainer,give.statement
"to step into politics at her age,",give.statement
#NAME?,x
more registrations in the last day since Taylor's post than in all of August.,give.statement
"According to vote.org on Monday,",give.statement
"nationwide there have been 51,308 new registrations",give.statement
- in the past 24 hours. - Whoa!,relax.atmosphere
Yeah!,relax.atmosphere
#NAME?,x
#NAME?,x
Do you think it'll... Do you think...,open.question
"I think it could, definitely. It's your first race, so...",respond.agree
"I really hope it actually, actually does something.",give.statement
But you know what? Donald Trump likes my music 25% less.,relax.atmosphere
I feel 200 pounds lighter.,give.statement
I just feel like a... I just feel... I've been feeling this way for months.,give.statement
"Perez Hilton just posted,",recall
"""Note how Republicans are attacking Taylor Swift's intelligence",recall
instead of her ideas.,recall
"They don't respect women enough to debate them.""",recall
Wow.,relax.atmosphere
It's not not true.,respond.agree
#NAME?,x
#NAME?,x
#NAME?,x
#NAME?,x
- Gorgeous. - ...a Pop-Tart wrapper.,use.social.convention
- Try this on that ear. - She's got that...,give.statement
"You know what? This is gonna sound ridiculous,",relax.atmosphere
"- but I can't move past here. - Ooh, you got it.",relax.atmosphere
You got it.,give.statement
That's how this dress makes me feel.,give.opinion
#NAME?,x
Can you breathe?,closed.question
#NAME?,x
- Is it easy? No. - The other one's better.,respond.agree
Don't block her.,give.statement
- Taylor! Taylor! - Taylor!,use.social.convention
To your right! On your right!,use.social.convention
"Taylor, look over to your right!",use.social.convention
Thank you for this.,use.social.convention
And I just wanted to make a mention of the fact,give.statement
that this award and every single award given out tonight,give.statement
were voted on by the people.,give.statement
And you know what else is voted on by the people...,give.statement
...is the midterm elections on November 6th.,give.statement
Get out and vote. I love you.,give.statement
"Pre-chorus. Six, seven, eight.",misc
"One, two, three, four, five, six, seven, eight.",misc
"One, two, three, four five,",misc
"six, seven, eight. Three! Two, three, four, five, six, seven, eight.",misc
"Chorus. Six, seven, eight.",misc
"Yeah, I need to work on my face.",give.opinion
I look like I have a mean face sometimes when I'm not trying to.,give.opinion
Know what I mean?,closed.question
Um...,respond.deny
I think you might be more sensitive than me to that.,give.opinion
"Yeah, I have a really slappable face.",give.statement
"- Slappable? Ouch! - Yeah, you just want to be like...",relax.atmosphere
"""What are you plotting?",quoted.speech
"What's she planning?"" I'm not meaning to look like that.",quoted.speech
You looked confident and strong. It's the chorus.,give.opinion
"You got it. All right, we'll...",respond.agree
I'm gonna try to be more likable on the next one.,give.statement
"All right, all right. Perfect.",respond.agree
"One, two, three, four, five, six, seven, eight. One...",misc
I wish I didn't feel like there's a better version of me out there.,give.opinion
I feel that way all the time.,give.statement
"You know what we call this? This is ""last rhino of the stampede,""",quoted.speech
"up here, just...",give.opinion
Everybody else is runnin'. Limping.,give.opinion
First to get eaten.,give.opinion
I keep looking down because I'm afraid.,give.opinion
Afrai...?,closed.question
And it shows.,give.opinion
It's a lot to process because we do exist in this society,give.opinion
where women in entertainment are discarded in an elephant graveyard,give.statement
by the time they're 35.,give.statement
"Two, two, three, four, five, six, seven, eight.",misc
Three!,misc
"Everyone's a shiny, new toy for, like, two years.",give.opinion
The female artists that I know of,give.opinion
have reinvented themselves 20 times more than the male artists.,give.opinion
They have to...,give.opinion
or else you're out of a job.,give.opinion
"Constantly having to reinvent,",give.opinion
constantly finding new facets of yourself that people find to be shiny.,give.opinion
"Be new to us, be young to us,",give.opinion
but only in a new way and only in the way we want.,give.opinion
"And reinvent yourself,",give.opinion
but only in a way that we find to be equally comforting,give.opinion
but also a challenge for you.,give.opinion
Live out a narrative,give.opinion
"that we find to be interesting enough to entertain us,",give.opinion
but not so crazy that it makes us uncomfortable.,give.opinion
This is probably one of my last opportunities as an artist,give.opinion
to grasp onto that kind of success.,give.opinion
So...,give.opinion
"I don't know, like, as I'm reaching 30, I'm like...",give.opinion
"""I want to work really hard...",recall
um...,misc
"while society is still tolerating me being successful.""",recall
We have another result from the Senate. Marsha Blackburn...,give.statement
we were just talking about that... Marsha Blackburn will win the Senate seat.,give.statement
"The Bredesen camp was very much hoping for the ""Swift lift,"" as they called it,",give.statement
because young voter turnout spiked here by sevenfold,give.statement
"from the previous midterm election, and yet that wasn't enough.",give.statement
I guess Tay Tay didn't have that much sway-sway.,give.statement
I can't believe it. I can't believe it.,give.statement
I can't believe that she gets to be the first female senator in Tennessee,give.statement
and she's... she's Trump in a wig.,give.opinion
She represents no female interests.,give.opinion
She won by being a female applying,give.opinion
to the kind of female males want us to be,give.opinion
in a horrendous... 1950s world.,give.opinion
"So, for the next two years,",give.opinion
we have to build on what started here.,give.opinion
"The first verse I want to be all about, like, hearing the news.",give.opinion
"You know, if you were, like, a kid who, like, loved Beto",give.opinion
"and thought that was the future of Texas,",give.opinion
or you really thought Stacey Abrams was gonna win,give.opinion
"and you went door-to-door, trying to make it happen,",give.opinion
and then she still gets beat...,give.opinion
- It didn't happen. - And it didn't happen.,give.opinion
"But it's like, statistically,",give.opinion
"you know, we have, what?",give.opinion
Three to four million people turning 18 in the next two years before the next one?,give.opinion
"So, it's like...",give.opinion
"it's basically saying, like, ""Don't lose hope. Don't get...""",quoted.speech
"Yeah, your time will come if you just hang in there.",quoted.speech
#NAME?,x
♪ Only the young ♪,misc
♪ Only the young ♪,misc
♪ Only the young ♪,misc
♪ Can run ♪,misc
What?,open.question
I have this idea...,give.statement
"...called ""Only the Young.""",give.statement
Play it again.,give.statement
♪ And I know tonight ♪,misc
"♪ Oh, but only the young ♪",misc
♪ Only the young ♪,misc
♪ Only the young ♪,misc
♪ Only the young ♪,misc
♪ Can run ♪,misc
#NAME?,x
"That's basically saying, like, ""Resist.""",quoted.speech
"If you can just shift the power in your direction by being bold enough,",give.statement
then it won't be like this forever.,give.statement
#NAME?,x
"Like, you can run from fascism.",give.statement
"Mmkay, I have a partial verse.",give.statement
#NAME?,x
♪ It keeps me awake The look on your face ♪,misc
♪ The moment you heard the news ♪,misc
♪ Frozen in time and screaming inside ♪,misc
♪ You did all that you could do ♪,misc
♪ The game was rigged The ref got tricked ♪,misc
♪ The wrong ones think they're right ♪,misc
♪ And you were outnumbered ♪,misc
#NAME?,x
#NAME?,x
#NAME?,x
♪ Only the young ♪,misc
♪ Only the young ♪,misc
♪ Can run ♪,misc
"Like this, you know.",give.statement
♪ Only the young ♪,misc
♪ Can run ♪,misc
"♪ So, every day now You brace for the sound ♪",misc
♪ You've only heard on TV ♪,misc
♪ You go to class scared Wondering where ♪,misc
♪ The best hiding spot would be ♪,misc
♪ And the big bad man And his big bad clan ♪,misc
♪ Their hands are stained with red ♪,misc
"♪ Oh, how quickly you forget ♪",misc
♪ That only the young ♪,misc
♪ Only the young ♪,misc
♪ Only the young ♪,misc
♪ Only the young ♪,misc
♪ Can run ♪,misc
♪ Can run ♪,misc
♪ So run ♪,misc
♪ And run ♪,misc
♪ And run ♪,misc
I just... I feel really good about not feeling...,give.opinion
muzzled anymore.,give.opinion
And it was my own doing.,give.opinion
I needed to learn a lot before I spoke to 200 million people.,give.opinion
"But... I've educated myself now,",give.opinion
and it's time to take the masking tape off of my mouth...,give.opinion
"like, forever.",give.statement
"You were really major at midterms, honey.",give.opinion
Thank you.,use.social.convention
"If you have anything I can help with, just let me know.",use.social.convention
"I think we just need to, like, really keep talking about it",give.statement
because we really do need people to put the pressure on those senators,give.statement
to pass the Equality Act.,give.statement
"If they are forced to vote on it and they do vote against it publicly,",give.statement
"then it's really... then we have their numbers,",give.statement
"you know, for next year.",give.statement
"Literally, just call me for anything,",give.statement
'cause you do so many good things for people.,give.opinion
"All right, here we go. And... roll camera.",relax.atmosphere
- Rolling! - And playback!,exclamation
I want to love glitter,give.statement
and also stand up for the double standards,give.statement
that exist in our society.,give.statement
I want to wear pink,give.statement
and tell you how I feel about politics.,give.statement
And I don't think that those things have to cancel each other out.,give.opinion
How long have you been doing this?,closed.question
About a year.,respond.agree
"When I realized that I really like having cute nails,",give.statement
but I really can't go in public.,give.statement
I will die if I get a VMA.,give.statement
"Well, if we win something, you're definitely first on the list.",give.opinion
I will lose my shit.,give.statement
You don't understand.,relax.atmosphere
This is one of my favorite manis I've ever gotten.,give.opinion
I appreciate it. Give me a good review on Yelp.,relax.atmosphere
I will.,respond.agree
#NAME?,x
#NAME?,x
And the VMA goes to...,give.statement
"Taylor Swift, ""You Need to Calm Down.""",quoted.speech
"At the end of this video, there was a petition,",give.statement
and there still is a petition...,give.statement
Whoo!,relax.atmosphere
"...for the Equality Act,",give.statement
which basically just says we all deserve equal rights,give.statement
under the law.,give.statement
And...,give.statement
I want to thank everyone who signed that petition,give.statement
"because it now has half a million signatures, which...",give.statement
...which is five times the amount that it would need to warrant a response,give.statement
from the White House.,give.statement
"♪ Uh-oh, uh-oh, uh-oh, uh-oh ♪",misc
♪ Uh-oh! ♪,misc
♪ You need to calm down ♪,misc
♪ You need to calm down ♪,misc
♪ You're being too loud ♪,misc
♪ You're being too loud ♪,misc
"♪ Like, can you just not step On our gowns? ♪",misc
♪ You need to calm down ♪,misc
"I'm trying to be as educated as possible on how to respect people,",give.statement
on how to...,give.statement
deprogram the misogyny in my own brain.,give.statement
"Toss it out, reject it, and resist it.",give.statement
"Like, there is no such thing as a slut.",give.statement
There is no such thing as a bitch.,give.opinion
"There is no such thing as someone who's bossy, there's just a boss.",give.opinion
We don't want to be condemned for being multifaceted.,give.statement
#NAME?,x
#NAME?,x
"- You're just... - No, it's...",relax.atmosphere
because we're trained to say sorry.,respond.agree
"Yeah, we legitimately are. We're, like...",respond.agree
"""Sorry, was I loud... in my own house that I bought",quoted.speech
with the songs that I wrote...,quoted.speech
"about my own life?""",quoted.speech
♪ Combat ♪,misc
♪ I'm ready for combat ♪,misc
♪ I say I don't want that ♪,misc
♪ What if I do? ♪,misc
There's nothing that feels better than this moment.,give.opinion
It's out. It's out on iTunes.,give.statement
It's out on iTunes.,give.statement
"Oh, my God.",relax.atmosphere
It's out. It's out. It's out.,relax.atmosphere
We're listening to it right now.,give.statement
This is so cool. Toast to Taylor.,relax.atmosphere
No one is this good and works harder.,give.opinion
"If you're that good, usually you don't work that hard.",give.opinion
#NAME?,x
Yay!,relax.atmosphere
"After 13 years of constantly feeling like I was misunderstood,",give.statement
knowing that everything that happened was all gonna turn into this moment is...,give.statement
fucking awesome.,give.opinion
